AwardID,AwardTitle,Startdate,Enddate,AwardAmount,Type,Investigators,Institutions
1400625,"Compositional, temperature, and pressure controls on structural order, dynamics, and properties of multicomponent borosilicate glasses",7/1/14,6/30/18,290000,Continuing grant,Jonathan Stebbins;,Stanford University
1400640,Collaborative Research: Assessing the Reliability of Levees in Changing Geologic Conditions,7/1/14,6/30/17,204947,Standard Grant,John Rice;,Utah State University
1400650,Mt. SAC STEM Teacher Preparation Program (STEM TP2),9/1/14,8/31/17,624668,Standard Grant,Charles Newman;Iraj Nejad;,Mount San Antonio College
1400653,"RUI: Crossing numbers for topological drawings of the complete graph, rotation schemes, and interior triple systems",7/15/14,6/30/17,130000,Standard Grant,Silvia Fernandez;,"The University Corporation, Northridge"
1400654,Beyond Marketing to Stealth Recruitment: Creating ICT Pathways from High School to College and Work for Underrepresented Groups,10/1/14,9/30/16,313978,Standard Grant,Gerlinde Brady;Jill Denner;Thomas Rebold;,ETR Associates
1400661,7th Conference on Function Spaces at SIUE,1/1/14,12/31/14,35000,Standard Grant,Krzysztof Jarosz;,Southern Illinois University at Edwardsville
1400670,Project: Sustainable Energy Technology Program Enhancement at Missoula College: Partnering for Success,8/1/14,7/31/17,727912,Standard Grant,Nicky Phear;Bradley Layton;,University of Montana
1400680,Understanding the Boundary Between Stars and Substellar Objects in the Solar Neighborhood,9/1/14,8/31/17,89000,Fellowship,Sergio Dieterich;,Dieterich Sergio B
1400683,PostDoctoral Research Fellowship,7/1/14,6/30/18,150000,Fellowship,Aaron Silberstein;,Silberstein Aaron M
1400687,SFAz+8: Building Capacity for STEM Pathways in Rural Arizona,9/1/14,8/31/17,825000,Standard Grant,Verlyn Fick;Caroline VanIngen-Dunn;,Science Foundation Arizona
1400688,Expanding Career and Educational Learning in Information Technology (EXCEL-IT),9/1/14,8/31/17,304172,Standard Grant,Tina Ostrander;Alan Carter;Timothy Mason;Kendrick Hang;Krishnan Mahadevan;,Green River Community College
1400689,Strengthening Solar Photovoltaic Education,7/1/14,6/30/17,199892,Standard Grant,Stuart Cooley;Steve Paik;,Santa Monica College
1400699,Teaching Sustainability through Problem Based Learning Communities: Professional Development for the Teachers of Tomorrow's Green Economy Technicians,8/15/14,7/31/17,199924,Standard Grant,Scott Rollins;Adriana Bishop;,Community Colleges of Spokane
1400706,PostDoctoral Research Fellowship,9/1/14,8/31/18,150000,Fellowship,Jason Murphy;,Murphy Jason
1400713,PostDoctoral Research Fellowship,9/1/14,8/31/18,150000,Fellowship,Bohua Zhan;,Zhan Bohua
1400720,NSF Postdoctoral Fellowship in Biology FY 2014,11/1/14,10/31/16,187200,Fellowship,Erin McCullough;,McCullough Erin L
1400721,Bio-Link Next Generation National Advanced Technological Education Center for Biotechnology and Life Sciences,9/1/14,8/31/17,2497721,Continuing grant,Barton Gledhill;Elaine Johnson;Linnea Fletcher;Sandra Porter;Lisa Seidman;,City College of San Francisco
